ID_Contatore,Data_Lettura,Consumo_kWh
C_001,2023-01-15,450.5
C_002,15/02/2023,320.0
C_001,2023-01-15,450.5
C_003,2023-03-10,
C_004,2023-13-10,600.0
C_005,2023-05-12,-100.0
C_002,2023-06-20,310.2
,,150.0
C_001,2024-01-10,500.0
C_003,2023-03-10,250.0
C_006,2023-01-10,10000.0
C_007,2023-02-10,200.0
C_008,2023-03-15,300.0
C_009,2023-04-12,400.0
C_010,2023-05-10,500.0
C_006,2023-02-10,150.0
C_007,2023-03-10,210.0
C_008,2023-04-15,310.0
C_009,2023-05-12,410.0
C_010,2023-06-10,510.0
C_006,2023-03-10,160.0
C_007,2023-04-10,220.0
C_008,2023-05-15,320.0
C_009,2023-06-12,420.0
C_010,2023-07-10,520.0
C_011,2023-01-20,180.0
C_012,2023-01-25,290.0
C_013,2023-02-14,310.5
C_014,20/03/2023,400.0
C_015,2023-04-10,
C_011,2023-05-15,190.0
C_012,2023-06-10,-50.0
C_013,2023-07-20,330.0
C_014,2023-08-15,410.0
C_015,2023-09-10,220.0
C_011,2023-10-05,200.0
C_012,2023-11-12,305.0
C_013,2023-12-01,350.0
C_014,2024-01-10,420.0
C_015,2024-02-15,230.0
C_001,2023-04-15,470.0
C_002,2023-05-20,340.0
C_003,2023-06-10,260.0
C_004,2023-07-15,640.0
C_005,2023-08-12,115.0
C_001,2023-09-15,465.0
C_002,2023-10-20,335.0
C_003,2023-11-10,265.0
C_004,2023-12-15,660.0
C_005,2024-01-12,125.0
